protein1 protein2 neighborhood fusion cooccurence coexpression experimental database textmining combined_score
4932.Q0032 4932.YBR159W 0 0 0 0 0 0 250 250
4932.Q0032 4932.YDR242W 0 0 0 0 0 0 273 273
4932.Q0032 4932.YIR007W 0 0 0 0 0 0 227 227
4932.Q0032 4932.YPL215W 0 0 0 0 0 0 193 193
4932.Q0045 4932.YDR455C 0 0 0 0 0 0 190 190
4932.Q0045 4932.YPL188W 0 0 0 0 0 0 373 373
4932.Q0045 4932.YBR118W 0 0 0 0 0 0 307 307
4932.Q0045 4932.YJL180C 0 0 0 0 0 0 213 213
4932.Q0045 4932.YJL062W-A 0 0 0 0 581 0 659 851
4932.Q0045 4932.YGR062C 0 0 0 0 0 0 538 538
4932.Q0045 4932.YEL027W 0 0 0 95 0 0 152 199
4932.Q0045 4932.YML030W 0 0 0 0 808 0 73 814
4932.Q0045 4932.YOL027C 0 0 0 0 0 0 491 491
4932.Q0045 4932.YML021C 0 0 0 0 0 0 167 167
4932.Q0045 4932.YJR051W 0 0 0 140 0 0 117 208
4932.Q0045 4932.YPL132W 155 0 0 121 0 0 738 788
4932.Q0045 4932.YDL033C 0 0 0 0 0 0 583 583
4932.Q0045 4932.YLR008C 0 0 0 0 0 0 258 258
4932.Q0045 4932.Q0250 155 777 422 899 903 900 971 999
4932.Q0045 4932.YNR045W 0 0 0 0 0 0 652 652
4932.Q0045 4932.YDL230W 0 0 0 0 0 0 172 172
4932.Q0045 4932.YMR145C 0 0 0 0 0 900 249 921
4932.Q0045 4932.YOR065W 0 0 0 49 0 900 491 947
4932.Q0045 4932.YFL018C 0 0 0 95 0 0 110 160
4932.Q0045 4932.YMR290C 0 0 0 0 0 0 364 364
4932.Q0045 4932.YEL047C 0 0 0 140 279 0 117 404
4932.Q0045 4932.YDR256C 0 0 0 0 0 0 217 217
4932.Q0045 4932.YPR166C 0 0 0 77 0 0 159 190
4932.Q0045 4932.YJR123W 0 0 0 76 0 0 176 206
4932.Q0045 4932.YBR179C 0 0 0 0 0 0 266 266
4932.Q0045 4932.YLR067C 0 0 0 0 536 0 855 930
4932.Q0045 4932.YGL058W 0 0 0 0 0 0 269 269
4932.Q0045 4932.YER015W 0 0 0 0 0 0 273 273
4932.Q0045 4932.YOR350C 0 0 0 0 0 0 681 681
4932.Q0045 4932.Q0092 0 0 0 0 0 0 531 531
4932.Q0045 4932.YLR382C 0 0 0 0 0 0 549 549
4932.Q0045 4932.YDR158W 0 0 0 0 0 0 177 177
4932.Q0045 4932.YMR080C 0 0 0 0 581 0 0 581
4932.Q0045 4932.YNR001C 0 0 0 0 0 0 303 303
4932.Q0045 4932.YJR047C 0 0 0 0 0 0 197 197
4932.Q0045 4932.YER153C 0 0 0 0 0 0 551 551
4932.Q0045 4932.YOR033C 0 0 0 0 0 0 169 169
4932.Q0045 4932.YMR064W 0 0 0 0 0 0 250 250
4932.Q0045 4932.YDR064W 0 0 0 0 0 0 175 175
4932.Q0045 4932.YOR266W 0 0 0 0 0 0 351 351
4932.Q0045 4932.YDL085W 0 0 0 0 0 900 194 916
4932.Q0045 4932.YER077C 0 0 0 0 0 0 338 338
4932.Q0045 4932.YLR069C 0 0 0 50 0 0 183 191
4932.Q0045 4932.YBR010W 0 0 0 0 0 0 190 190
4932.Q0045 4932.YJL003W 0 0 0 0 324 0 230 457
4932.Q0045 4932.YPR035W 0 0 0 0 0 0 202 202
4932.Q0045 4932.YBR268W 0 0 0 0 0 0 171 171
4932.Q0045 4932.YGR082W 0 0 0 48 0 0 248 253
4932.Q0045 4932.YJL045W 0 0 0 140 0 0 260 336
4932.Q0045 4932.YBL038W 0 0 0 76 0 0 306 332
4932.Q0045 4932.YBR026C 0 0 0 0 0 0 198 198
4932.Q0045 4932.YMR282C 0 0 0 0 0 0 448 448
4932.Q0045 4932.YNR037C 0 0 0 46 0 0 252 256
4932.Q0045 4932.Q0160 0 0 0 143 0 0 90 186
4932.Q0045 4932.YML054C 0 0 0 0 0 0 228 228
4932.Q0045 4932.YJL208C 0 0 0 96 0 0 141 190
4932.Q0045 4932.YDR197W 0 0 0 0 0 0 551 551
4932.Q0045 4932.YER141W 155 0 0 94 0 0 726 772
4932.Q0045 4932.YDR079W 0 0 0 0 0 0 177 177
4932.Q0045 4932.Q0070 0 0 55 895 0 540 67 951
4932.Q0045 4932.YPR191W 54 0 0 42 653 900 628 986
4932.Q0045 4932.YEL021W 91 0 0 0 0 0 274 311
4932.Q0045 4932.YOL033W 0 0 0 0 0 0 234 234
4932.Q0045 4932.YLR333C 0 0 0 0 0 0 301 301
4932.Q0045 4932.YMR257C 0 0 0 0 0 0 482 482
4932.Q0045 4932.YER102W 0 0 0 0 0 0 327 327
4932.Q0045 4932.YDR115W 0 0 0 0 0 0 358 358
4932.Q0045 4932.YDR405W 0 0 0 0 0 0 376 376
4932.Q0045 4932.YOL114C 0 0 0 42 0 0 394 394
4932.Q0045 4932.YPL091W 0 0 0 95 0 0 110 160
4932.Q0045 4932.Q0065 0 0 67 872 0 540 90 943
4932.Q0045 4932.YBR255C-A 0 0 0 0 323 0 0 323
4932.Q0045 4932.YKL216W 0 0 0 0 197 0 80 229
4932.Q0045 4932.Q0110 102 0 0 507 268 0 773 916
4932.Q0045 4932.YLR281C 0 0 0 0 0 0 258 258
4932.Q0045 4932.YPL078C 0 0 0 46 0 0 267 271
4932.Q0045 4932.YLR163C 54 0 0 0 252 540 117 674
4932.Q0045 4932.YNL178W 0 0 0 78 0 0 311 337
4932.Q0045 4932.YLR393W 0 0 0 0 0 0 446 446
4932.Q0045 4932.YPL013C 0 0 0 57 0 0 351 362
4932.Q0045 4932.YGR240C 0 0 0 0 0 0 193 193
4932.Q0045 4932.YFR033C 0 0 0 49 0 900 365 934
4932.Q0045 4932.Q0055 0 0 0 309 0 0 326 515
4932.Q0045 4932.YBR151W 0 0 0 0 0 0 297 297
4932.Q0045 4932.YPR125W 0 0 0 0 0 0 406 406
4932.Q0045 4932.YOL140W 0 0 0 0 0 0 398 398
4932.Q0045 4932.YHR116W 0 0 0 0 0 0 194 194
4932.Q0045 4932.YER142C 0 0 0 0 0 0 169 169
4932.Q0045 4932.YMR118C 0 0 0 207 0 0 164 308
4932.Q0045 4932.YFL039C 0 0 0 0 0 0 200 200
4932.Q0045 4932.YGL252C 0 0 0 0 0 0 192 192
4932.Q0045 4932.YNL123W 0 0 0 57 0 0 150 164
4932.Q0045 4932.YBR146W 0 0 0 0 0 0 202 202
4932.Q0045 4932.YLR256W 0 0 0 0 0 0 258 258
4932.Q0045 4932.YPR080W 0 0 0 0 0 0 342 342
4932.Q0045 4932.YDR203W 0 0 0 0 0 0 195 195
4932.Q0045 4932.YGL143C 0 0 0 0 445 0 228 553
4932.Q0045 4932.YBR024W 140 0 0 57 0 0 340 418
4932.Q0045 4932.YDR194C 0 0 0 0 0 0 853 853
4932.Q0045 4932.YLR439W 0 0 0 0 0 0 196 196
4932.Q0045 4932.YHR086W 0 0 0 0 581 0 0 581
4932.Q0045 4932.YDR156W 0 0 0 0 0 0 337 337
4932.Q0045 4932.YPL189C-A 0 0 0 0 319 0 554 683
4932.Q0045 4932.YBR251W 0 0 0 45 0 0 495 497
4932.Q0045 4932.YMR110C 0 0 0 42 0 0 194 194
4932.Q0045 4932.YKL195W 0 0 0 0 0 0 235 235
4932.Q0045 4932.YLR188W 0 0 0 0 0 0 220 220
4932.Q0045 4932.YHR051W 0 0 0 52 888 900 883 998
4932.Q0045 4932.Q0140 0 0 0 0 581 0 877 946
4932.Q0045 4932.YKL109W 0 0 0 0 0 0 161 161
4932.Q0045 4932.YJL166W 0 0 0 52 494 900 363 965
4932.Q0045 4932.YLR099W-A 0 0 0 0 0 0 171 171
4932.Q0045 4932.YCR012W 0 0 0 57 0 0 177 191
4932.Q0045 4932.YNR036C 0 0 0 55 0 0 350 359
4932.Q0045 4932.YMR293C 0 0 0 0 0 0 309 309
4932.Q0045 4932.YPL097W 0 0 0 0 0 0 298 298
4932.Q0045 4932.YLR204W 0 0 0 0 0 0 553 553
4932.Q0045 4932.YPL234C 0 0 0 95 0 0 157 205
4932.Q0045 4932.Q0275 155 312 385 909 903 900 940 999
4932.Q0045 4932.Q0120 102 4 0 507 268 900 907 996
4932.Q0045 4932.YLR203C 0 0 0 0 581 0 939 973
4932.Q0045 4932.YPL215W 0 0 0 0 0 0 483 483
4932.Q0045 4932.YKL148C 0 0 0 140 0 0 303 375
4932.Q0045 4932.YOR151C 0 0 0 0 0 0 346 346
4932.Q0045 4932.YJL046W 0 0 0 48 0 0 148 154
4932.Q0045 4932.YDR019C 0 0 0 0 0 0 198 198
4932.Q0045 4932.YOL128C 0 0 0 0 0 0 181 181
4932.Q0045 4932.YKL192C 0 0 0 0 290 0 0 290
4932.Q0045 4932.YPL252C 0 0 0 0 0 0 638 638
4932.Q0045 4932.YPL104W 0 0 0 0 0 0 196 196
4932.Q0045 4932.YIL155C 0 0 0 0 0 0 189 189
4932.Q0045 4932.YOR330C 0 0 0 0 0 0 461 461
4932.Q0045 4932.YBR117C 0 0 0 0 0 0 175 175
4932.Q0045 4932.YEL024W 155 0 0 56 300 900 643 976
4932.Q0045 4932.YBL057C 154 0 0 0 0 0 0 154
4932.Q0045 4932.YNR017W 0 0 0 0 347 0 0 347
4932.Q0045 4932.YIL125W 0 0 0 258 0 0 118 317
4932.Q0045 4932.YDL004W 0 0 0 0 0 0 152 152
4932.Q0045 4932.YPR024W 0 0 0 0 0 0 198 198
4932.Q0045 4932.YGR027C 0 0 0 0 0 0 301 301
4932.Q0045 4932.YGR183C 0 0 0 48 300 900 365 952
4932.Q0045 4932.YBL022C 0 0 0 43 0 0 200 202
4932.Q0045 4932.YKL167C 0 0 0 0 0 0 165 165
4932.Q0045 4932.YLL041C 0 0 0 147 0 0 577 624
4932.Q0045 4932.YBL080C 0 0 0 0 0 0 350 350
4932.Q0045 4932.YDR453C 0 0 0 0 0 0 172 172
4932.Q0045 4932.Q0010 0 0 0 183 0 0 0 183
4932.Q0045 4932.YBR037C 140 0 0 57 0 0 598 645
4932.Q0045 4932.YEL041W 0 0 0 0 0 0 161 161
4932.Q0045 4932.YKL011C 0 0 0 0 0 0 554 554
4932.Q0045 4932.YLR241W 0 0 0 0 0 0 250 250
4932.Q0045 4932.YBL045C 54 0 0 0 850 900 384 990
4932.Q0045 4932.YGR021W 0 0 0 0 0 0 428 428
4932.Q0045 4932.YPL172C 155 0 370 495 296 0 751 944
4932.Q0045 4932.YIR021W 0 0 0 0 0 0 769 769
4932.Q0045 4932.YJR144W 0 0 0 0 0 0 445 445
4932.Q0045 4932.YGL006W 0 0 0 50 0 0 179 187
4932.Q0045 4932.YLR038C 0 0 0 42 344 900 905 993
4932.Q0045 4932.YHR008C 0 0 0 56 0 0 409 419
4932.Q0045 4932.YGR244C 0 0 0 96 0 0 402 436
4932.Q0045 4932.YIL065C 0 0 0 0 0 0 171 171
4932.Q0045 4932.YDR119W-A 0 0 0 0 300 720 0 795
4932.Q0045 4932.YHR168W 0 0 0 0 0 0 445 445
4932.Q0045 4932.YCR053W 154 0 0 0 0 0 0 154
4932.Q0045 4932.YDL069C 0 0 0 0 0 0 551 551
4932.Q0045 4932.YOR020C 0 0 0 46 324 0 172 419
4932.Q0045 4932.YIL114C 0 0 0 0 0 0 158 158
4932.Q0045 4932.YNR074C 0 0 0 0 0 0 171 171
4932.Q0045 4932.YBL072C 0 0 0 0 0 0 322 322
4932.Q0045 4932.YMR244C-A 0 0 0 0 0 0 394 394
4932.Q0045 4932.YER154W 0 0 0 0 581 0 604 827
4932.Q0045 4932.YDR529C 0 0 0 54 71 900 375 937
4932.Q0045 4932.YIL157C 0 0 0 0 560 0 572 803
4932.Q0045 4932.YMR256C 0 0 0 0 808 900 876 997
4932.Q0045 4932.YLL009C 0 0 0 0 0 0 647 647
4932.Q0045 4932.YJL102W 0 0 0 50 0 0 233 240
4932.Q0045 4932.YNL213C 0 0 0 0 0 0 254 254
4932.Q0045 4932.YLR075W 0 0 0 49 0 0 188 195
4932.Q0045 4932.YHR026W 0 0 0 95 0 0 169 216
4932.Q0045 4932.YDR087C 0 0 0 0 0 0 154 154
4932.Q0045 4932.YDL202W 0 0 0 0 0 0 379 379
4932.Q0045 4932.YDL174C 0 0 0 0 0 0 183 183
4932.Q0045 4932.YGL236C 0 0 0 0 0 0 438 438
4932.Q0045 4932.YPL131W 0 0 0 0 0 0 313 313
4932.Q0045 4932.YPL029W 0 0 0 0 0 0 662 662
4932.Q0045 4932.YLR460C 0 0 0 0 0 0 182 182
4932.Q0045 4932.YJR115W 0 0 0 0 0 0 680 680
4932.Q0045 4932.YPL005W 0 0 0 0 0 0 683 683
4932.Q0045 4932.YPR001W 0 0 0 0 0 0 201 201
4932.Q0045 4932.YNL188W 0 0 0 0 0 0 317 317
4932.Q0045 4932.YOR232W 0 0 0 0 0 0 245 245
4932.Q0045 4932.YJL116C 0 0 0 0 0 0 220 220
4932.Q0045 4932.YJR048W 140 0 0 45 275 0 620 743
4932.Q0045 4932.YGR267C 150 0 0 55 0 0 47 167
4932.Q0045 4932.YEL039C 140 0 0 45 275 0 428 613
4932.Q0045 4932.YDL067C 0 0 0 0 324 900 876 990
4932.Q0045 4932.YBR227C 0 0 0 0 0 0 550 550
4932.Q0045 4932.YKL141W 0 0 0 207 84 0 298 445
4932.Q0045 4932.YLR239C 118 0 0 0 0 0 146 214
4932.Q0045 4932.YMR097C 0 0 0 0 0 0 276 276
4932.Q0045 4932.YGL064C 0 0 0 0 358 0 550 698
4932.Q0045 4932.YGR150C 0 0 0 0 0 0 674 674
4932.Q0045 4932.Q0075 0 0 0 172 0 0 872 889
4932.Q0045 4932.YOR358W 0 0 0 0 0 0 180 180
4932.Q0045 4932.Q0085 0 104 0 965 297 0 966 999
4932.Q0045 4932.YNL031C 0 0 0 0 0 0 190 190
4932.Q0045 4932.YMR302C 0 0 0 0 0 0 372 372
4932.Q0045 4932.YDR300C 0 0 0 0 197 0 0 197
4932.Q0045 4932.YCR005C 0 0 0 0 0 0 242 242
4932.Q0045 4932.YKL113C 0 0 0 0 0 0 191 191
4932.Q0045 4932.YBR269C 0 0 0 0 0 0 390 390
4932.Q0045 4932.YOL102C 0 0 0 0 0 0 276 276
4932.Q0045 4932.YLR395C 0 0 0 48 503 900 877 993
4932.Q0045 4932.YJL131C 0 0 0 0 0 0 374 374
4932.Q0045 4932.YFR032C-A 0 0 0 54 0 0 185 196
4932.Q0045 4932.YNL306W 0 0 0 49 0 0 185 191
4932.Q0045 4932.YKL049C 0 0 0 0 0 0 222 222
4932.Q0045 4932.YNL055C 0 0 0 0 0 0 237 237
4932.Q0045 4932.YML009C 0 0 0 48 0 0 194 199
4932.Q0045 4932.YBL030C 0 0 0 0 0 0 290 290
4932.Q0045 4932.YML129C 0 0 0 0 498 0 734 860
4932.Q0045 4932.YHL023C 0 0 0 78 0 0 118 152
4932.Q0045 4932.YDR462W 0 0 0 0 0 0 290 290
4932.Q0045 4932.YDR231C 0 0 0 52 296 0 293 487
4932.Q0045 4932.YLR259C 0 0 0 0 112 0 384 430
4932.Q0045 4932.YGL040C 0 0 0 47 0 0 213 217
4932.Q0045 4932.YEL050C 0 0 0 56 0 0 254 265
4932.Q0045 4932.YKL155C 0 0 0 0 0 0 616 616
4932.Q0045 4932.YDR375C 0 0 0 0 0 0 373 373
4932.Q0045 4932.YJR104C 0 0 0 0 0 0 318 318
4932.Q0045 4932.YBL099W 0 0 0 238 0 0 589 673
4932.Q0045 4932.YDL107W 0 0 0 0 0 0 290 290
4932.Q0045 4932.YGL107C 0 0 0 0 0 0 171 171
4932.Q0045 4932.YHR024C 54 0 0 0 252 0 119 322
4932.Q0045 4932.YPL262W 0 0 0 0 283 0 110 334
4932.Q0045 4932.YJL209W 0 0 0 0 0 0 448 448
4932.Q0045 4932.YGL246C 0 0 0 0 0 0 229 229
4932.Q0045 4932.YDR261C 0 0 0 0 0 0 171 171
4932.Q0045 4932.Q0255 0 0 0 103 0 0 207 258
4932.Q0045 4932.YGL191W 0 0 0 0 854 900 875 998
4932.Q0045 4932.Q0050 0 0 0 360 0 900 351 954
4932.Q0045 4932.YKL078W 0 0 0 0 0 0 196 196
4932.Q0045 4932.YDR298C 0 0 0 56 0 0 301 312
4932.Q0045 4932.YOR204W 0 0 0 0 0 0 195 195
4932.Q0045 4932.YJR119C 0 0 0 114 0 0 95 163
4932.Q0045 4932.YPL017C 0 0 0 95 0 0 110 160
4932.Q0045 4932.YKL208W 0 0 0 0 0 0 551 551
4932.Q0045 4932.YGR208W 150 0 0 42 0 0 0 150
4932.Q0045 4932.YBR044C 0 0 0 0 107 0 91 153
4932.Q0045 4932.YJR137C 0 0 0 0 0 0 161 161
4932.Q0045 4932.YDR376W 0 0 0 0 0 0 652 652
4932.Q0045 4932.YNR018W 0 0 0 0 808 0 441 888
4932.Q0045 4932.YBR185C 0 0 0 0 0 0 617 617
4932.Q0045 4932.YDR350C 0 0 0 0 0 0 698 698
4932.Q0045 4932.YKR016W 0 0 0 0 143 0 259 337
4932.Q0045 4932.YER058W 0 0 0 0 0 0 376 376
4932.Q0045 4932.YAL039C 0 0 0 0 0 0 194 194
4932.Q0045 4932.YDR047W 0 0 0 0 0 0 248 248
4932.Q0045 4932.YMR176W 0 0 0 114 0 0 95 163
4932.Q0045 4932.YDR178W 0 0 0 54 0 0 244 255
4932.Q0045 4932.YMR234W 145 0 0 0 0 0 60 161
4932.Q0045 4932.YLR142W 57 0 0 0 292 0 74 328
4932.Q0045 4932.YJR121W 0 0 0 114 0 0 209 269
4932.Q0045 4932.Q0060 0 0 119 199 0 540 228 716
4932.Q0045 4932.YDR050C 0 0 0 42 0 0 157 158
4932.Q0045 4932.YJL052W 0 0 0 47 0 0 157 162
4932.Q0045 4932.YGR192C 0 0 0 47 0 0 155 160
4932.Q0045 4932.YGR174C 0 0 0 0 0 0 363 363
4932.Q0045 4932.Q0105 102 363 0 918 463 900 950 999
4932.Q0045 4932.YML091C 0 0 0 0 0 0 572 572
4932.Q0045 4932.YGR222W 0 0 0 0 585 0 697 868
4932.Q0045 4932.YGR112W 155 0 0 114 339 0 795 885
4932.Q0045 4932.YOR354C 0 0 0 0 0 0 171 171
4932.Q0045 4932.YKR087C 0 0 0 0 0 0 658 658
4932.Q0045 4932.YBR109C 0 0 0 0 0 0 165 165
4932.Q0045 4932.YNL052W 0 0 0 46 371 900 880 991
4932.Q0045 4932.YKL067W 0 0 0 140 0 0 230 309
4932.Q0045 4932.YDR296W 0 0 0 0 0 0 334 334
4932.Q0045 4932.YOL096C 0 0 0 0 0 0 165 165
4932.Q0045 4932.YGR088W 0 0 0 0 0 0 201 201
4932.Q0045 4932.YJR113C 0 0 0 76 0 0 379 401
4932.Q0045 4932.YML120C 0 0 0 0 0 900 276 924
4932.Q0045 4932.YHL038C 0 0 0 0 0 0 619 619
4932.Q0045 4932.YHR001W-A 0 0 0 0 0 900 363 933
4932.Q0045 4932.YLR049C 0 0 0 0 0 0 194 194
4932.Q0045 4932.YPR155C 0 0 0 0 0 0 482 482
4932.Q0045 4932.YOR323C 0 0 0 0 197 0 0 197
4932.Q0045 4932.YOR158W 0 0 0 0 0 0 196 196
4932.Q0045 4932.YCL017C 143 0 0 54 590 0 75 651
4932.Q0045 4932.YGL068W 0 0 0 46 0 0 445 448
4932.Q0045 4932.YPR134W 0 0 0 0 0 0 632 632
4932.Q0045 4932.YFR039C 0 0 0 0 0 0 297 297
4932.Q0045 4932.YDR263C 0 0 0 0 0 0 217 217
4932.Q0045 4932.YKL053C-A 0 0 0 0 0 0 170 170
4932.Q0045 4932.YBR039W 0 0 0 95 0 0 242 285
4932.Q0045 4932.YFL036W 0 0 0 0 0 0 754 754
4932.Q0045 4932.YKR049C 0 0 0 0 0 0 228 228
4932.Q0045 4932.YKR058W 0 0 0 0 0 0 151 151
4932.Q0045 4932.YMR228W 0 0 0 0 0 0 454 454
4932.Q0045 4932.YDL044C 0 0 0 0 581 0 808 916
4932.Q0045 4932.Q0130 0 0 0 283 0 0 901 926
4932.Q0045 4932.YJR009C 0 0 0 47 0 0 176 181
4932.Q0045 4932.YGL226W 0 0 0 46 108 540 76 589
4932.Q0045 4932.YLR348C 0 0 0 0 210 0 92 252
4932.Q0045 4932.YBR120C 0 0 0 0 0 0 355 355
4932.Q0045 4932.YMR024W 0 0 0 44 0 0 179 181
4932.Q0045 4932.YGR033C 0 0 0 0 360 0 55 370
4932.Q0045 4932.Q0080 0 0 0 121 0 0 799 815
4932.Q0045 4932.YIL111W 0 0 0 46 345 720 879 976
4932.Q0045 4932.YER053C 0 0 0 0 0 0 169 169
4932.Q0045 4932.YGL187C 0 0 0 50 854 900 889 998
4932.Q0045 4932.YML125C 0 0 0 0 0 0 150 150
4932.Q0045 4932.Q0115 102 0 0 507 268 0 820 934
4932.Q0050 4932.YMR262W 0 0 0 0 0 0 167 167
4932.Q0050 4932.YBL045C 0 0 0 0 0 900 0 900
4932.Q0050 4932.YIR021W 0 0 0 0 0 0 537 537
4932.Q0050 4932.YPL172C 0 0 0 0 0 0 162 162
4932.Q0050 4932.YLR038C 0 0 0 0 0 900 54 901
4932.Q0050 4932.YIL021W 0 0 0 46 0 0 230 234
4932.Q0050 4932.YPL132W 0 0 0 0 0 0 180 180
4932.Q0050 4932.YJR070C 169 0 0 0 0 0 0 169
4932.Q0050 4932.YDR529C 0 0 0 0 0 900 0 900
4932.Q0050 4932.Q0250 0 0 0 143 0 900 699 971
4932.Q0050 4932.YMR256C 0 0 0 0 0 900 0 900
4932.Q0050 4932.YJR010W 0 0 0 0 0 0 311 311
4932.Q0050 4932.YMR145C 0 0 0 0 0 900 0 900
4932.Q0050 4932.YJR063W 0 0 0 0 0 0 446 446
4932.Q0050 4932.YOR065W 0 0 0 0 0 900 0 900
4932.Q0050 4932.YPR166C 0 0 0 53 0 0 301 309
4932.Q0050 4932.YOR350C 0 0 0 0 0 0 436 436
4932.Q0050 4932.YLR382C 0 0 0 0 0 0 295 295
4932.Q0050 4932.YPL131W 0 0 0 0 0 0 161 161
4932.Q0050 4932.YPL029W 0 0 0 0 0 0 523 523
4932.Q0050 4932.YDR125C 0 0 0 0 0 0 256 256
4932.Q0050 4932.YJR115W 0 0 0 0 0 0 532 532
4932.Q0050 4932.YNL188W 0 0 0 0 0 0 171 171
